Gene\Cell type,EXMC,Hypoblast,PreL-TE,PostL-EPI,VE/YE
GDPGP1,4.5736043125,6.82960698148148,13.2043924807692,4.89651726,1.3687776
GEM,7.380976,0,0.00877038461538462,1.65101608,0
GEMIN2,21.38734725,35.7444270925926,23.6845827692308,30.2301018,24.803604
GEMIN4,27.415791375,13.8802981666667,12.9486446923077,29.6659202,16.24958
GEMIN5,32.0623376875,35.6302838333333,31.8171970384615,75.26908834,33.655068
GEMIN6,3.89389821875,7.9040127037037,15.3036087307692,7.11019248,13.6596206
GEMIN8,8.8637104375,19.4294153148148,14.5787258269231,15.75394402,21.459527
GEN1,28.46778675,32.4723293148148,22.0023480769231,39.6567438,9.8669566
GET4,30.803631875,39.4723298148148,47.6498751923077,49.3439584,21.1018
GFER,9.1841723125,11.1737577777778,14.3918950576923,13.6960678,14.97698
GFI1,0.0114454375,6.00125685185185,0.0298813846153846,0.66493662,0
GFI1B,0.02633109375,0,0.299996038461538,0,0
GFM1,57.21481521875,104.293464814815,104.445030769231,62.7959016,38.687884
GFM2,7.78726428125,19.4293425925926,16.5345990384615,13.3850958,12.193242
GFOD1,14.95456653125,0.204920777777778,0.679441153846154,0.49813134,0.1547428
GFPT1,128.95438375,217.375851851852,72.3886076923077,62.4737428,134.89758
GFPT2,150.7318125,36.7084325925926,28.8577438269231,7.78911428,78.06054
GFRA1,0.15865715625,0.0151145740740741,0.0439846730769231,1.1848745,0.0752606
GFRA2,0.4016110625,0.010785462962963,0,1.1858372,0
GFRA3,1.1806516875,0.272233888888889,1.57868615384615,5.05557446,0
GFRA4,0,0,0.00911526923076923,0.52152576,6.14094
GFRAL,3.89946975,1.04362674074074,0.44855325,0.53081462,1.676623
GGA1,16.51800625,13.9228655740741,17.6242582307692,12.30433922,5.787595
GGA2,78.07630125,80.2463827777778,279.475301923077,131.8290108,55.326854
GGA3,68.746492875,71.9076619259259,92.8108980769231,142.864524,91.184315
GGACT,23.0401690625,46.7829886666667,53.4497375,77.280073,80.26944
GGCT,3.4302638125,1.4256155,2.33785423076923,12.3753285,0.3698668
GGCX,35.70625053125,46.4471127407407,28.1832415192308,22.81005874,68.015572
GGH,14.00245375,6.46488303703704,5.04377807692308,1.1454757,5.0495384
GGN,0.999995,0.109995055555556,0,0.097583,0
GGPS1,36.11633646875,28.5966374074074,33.5701223076923,40.664754,45.728
GGT1,0.10698940625,5.08833542592592,6.94308646153846,0,19.674278
GGT6,0.12295778125,0.132504074074074,0.225288076923077,0.22267748,0
GGT7,0.59485709375,0.878769722222222,0.165988269230769,0.34099102,0
GHDC,1.856276375,1.89750303703704,3.90642348076923,2.4192414,9.495654
GHR,3.33686334375,1.33473857407407,1.16924598076923,2.91254648,12.870066
GHRH,0,0,0,1.19408,0
GHRHR,0.35734809375,0.110821833333333,0.0337989423076923,1.13567536,0.7854326
GHRL,0,0,0,0,0
GHSR,0,0.0431185555555556,0,0,0
GID4,0.1132659375,1.85517703703704,0.880829480769231,0.16988576,0
GID8,35.41265125,51.4279214814815,57.14846,80.634734,24.416515
GIF,0,7.59300133333333,0.0178453269230769,0,0
GIGYF1,15.106678375,10.6329727777778,10.3758381153846,23.850927,11.8617508
GIGYF2,36.9167468125,53.4953520185185,45.6102134615385,27.41274594,26.6552828
GIMAP1,0,0,0,0,0
GIMAP2,0,0,0,0,0
GIMAP4,0,0,0,0,0
GIMAP5,0.01537890625,0.0167490740740741,0,0.07829922,0.0752606
GIMAP6,0,0,0,0,0
GIMAP7,0,0,0,0,0
GIMAP8,0.01101853125,0.0153862407407407,0.103413076923077,0.00713578,0
GIMD1,0.42751225,0.476908037037037,0.109275576923077,0.10401466,0
GIN1,18.65466109375,17.2336268333333,12.0483140192308,23.1867559,16.66506
GINM1,39.43821,41.8171304814815,34.7321926923077,28.85055888,64.50222
GINS1,81.0219791875,154.241546296296,116.477071153846,70.1399728,34.00982
GINS2,72.3296886875,108.213146296296,90.856565,167.145372,76.8972606
GINS3,56.5989665625,35.253171037037,29.77475575,30.33254106,86.9743206
GINS4,21.79294365625,32.5715321851852,24.7950538076923,30.3522406,37.116535
GIP,4.74480378125,0.145531537037037,2.44118434615385,0.25920218,4.803607
GIPC1,14.68006765625,12.5184842592593,19.1356001923077,19.6170754,21.70866
GIPC2,0.04112971875,3.1853247962963,5.28767615384615,1.60728274,0
GIPC3,0.02800971875,0.0239821481481481,0.0913624615384615,0.0423126,0.1828226
GIPR,0,0.40014037037037,0.0454855384615385,0.14439298,9.85914
GIT2,29.09951375,19.3396882407407,19.2656984230769,11.89839938,10.3401826
GJA1,524.73146875,1754.38031481482,750.508019230769,1233.59074,2133.238
GJA10,0,0.197574074074074,0,0.028999,0
GJA3,0,0.0817901851851852,0.0105025,0,0
GJA4,0,0,0.147231538461538,0.588765,0
GJA5,5.38073753125,0,0,0.0644001,0.0752606
GJA8,0,0,0.0173485384615385,0,0
GJA9,0,0.805632351851852,0.00833698076923077,0.561944,0
GJB2,0.01795703125,0.025391537037037,0,0.00681774,0.0748896
GJB3,0,0.0119310185185185,3.15279153846154,0,0
GJB4,0.0114454375,0,0,0.02408454,0
GJB5,0,0,0,0.19393626,0
GJB6,0,0,0,0,0
GJB7,0,0.0153862407407407,0.204992634615385,0.033519,0
GJC1,58.027719375,25.2587327222222,23.8265555961538,8.20710084,79.72992
GJC2,0.1297475,0.124614148148148,0.141935673076923,0,0
GJC3,0.592209375,0.0279198148148148,0.0601863461538462,0.98283578,0
